method,averageTime,timeSpent,success,fails,cycles,avgAttemptsTaken,CPU_frequency,CPU_percentage,RAM_bytes,RAM_percentage
Backtracking,0.179814482,179.8144822,1000,0,1000,1,3701,5.8681,175759360,0.5
CrossHatching-Random,0.819698575,819.698575,909,91,1000,41.194,3701,6.2752,1237254144,3.6
Machine Learning without Training,0.038440677,38.44067717,0,1000,1000,1,3701,7.8227,840650752,2.4
Machine Learning with Training,0.190204362,190.2043619,0,1000,1000,1,3701,7.7792,932290560,2.7
,1.228158096,1228.158096,1909,2091,1000,41.194,3701,6.9363,796488704,2.3
,,,,,,,,,,
Backtracking,0.145542495,145.5424953,1000,0,1000,1,3701,6.6528,204464128,0.6
CrossHatching-Random,0.000433402,0.433402061,1000,0,1000,1,3701,6.6525,204464128,0.6
Machine Learning without Training,0.049271863,49.27186275,0,1000,1000,1,3701,6.6401,204464128,0.6
Machine Learning with Training,0.031965686,31.96568608,0,1000,1000,1,3701,6.652,204464128,0.6
,0.227213446,227.2134461,2000,2000,1000,1,3701,6.64935,204464128,0.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,179.8144822,145.5424953,80.94036334574%,,,,,,
,,819.698575,0.433402061,0.05287334572%,,,,,,
,,38.44067717,49.27186275,128.17636518871%,,,,,,
,,190.2043619,31.96568608,16.80596899088%,,,,,,
,,1228.158096,227.2134461,18.50034183891%,,,,,,
