method,success,fails,cycles,Min_Time_Per_Cycle,Avg_Time_Per_Cycle,Max_Time_Per_Cycle,timeSpent,Min_Attempts_Taken,Avg_Attempts_Taken,Max_Attempts_Taken,Min_CPU_frequency,Avg_CPU_frequency,Max_CPU_frequency,Min_CPU_percentage,Avg_CPU_percentage,Max_CPU_percentage,Min_RAM_Bytes,Avg_RAM_bytes,Max_RAM_Bytes,Min_RAM_percentage,Avg_RAM_percentage,Max_RAM_percentage,SaveID,ML_Range
,10,0,10,0.004499673843383789,0.1795502185821533,0.48999881744384766,1.7955021858215332,1,1.0,1,3701.0,3701.0,3701.0,2.7,5.720000000000001,8.6,0,409.6,4096,0,0.0,0,10:1,0
,10,0,10,0.00949859619140625,0.0647998332977295,0.18349981307983398,0.6479983329772949,1,1.0,1,3701.0,3701.0,3701.0,4.2,5.12,6.5,0,946176.0,9461760,0,0.0,0,10:2,0
,10,0,10,0.0009980201721191406,0.04889979362487793,0.20400023460388184,0.4889979362487793,1,1.0,1,3701.0,3701.0,3701.0,7.1,7.26,7.5,0,47513.6,475136,0,0.0,0,10:3,0
,93,7,100,0.046494245529174805,0.8244248509407044,4.668000221252441,82.44248509407043,1,40.97,200,3701.0,3701.0,3701.0,3.0,6.713999999999999,9.7,0,1535344.64,153534464,0,0.005,0.5,100:1,0
,91,9,100,0.04800128936767578,0.717914764881134,5.939499139785767,71.7914764881134,1,36.16,200,3701.0,3701.0,3701.0,5.0,6.7600000000000025,11.7,0,1741496.32,174149632,0,0.005,0.5,100:2,0
,91,9,100,0.046500444412231445,0.7545300340652465,4.953499794006348,75.45300340652466,1,37.57,200,3701.0,3701.0,3701.0,5.2,7.538000000000006,14.1,0,1896734.72,189673472,0,0.006000000000000014,0.6000000000000014,100:3,0
,100,0,100,0.0004990100860595703,0.13329456090927125,1.9929988384246826,13.329456090927124,1,1.0,1,3701.0,3701.0,3701.0,0.0,4.137,6.199999999999999,0,115875.84,11587584,0,0.0,0,100:1,0
,100,0,100,0.0004999637603759766,0.11687960147857666,1.7340021133422852,11.687960147857666,1,1.0,1,3701.0,3701.0,3701.0,0.0,1.564,3.000000000000001,0,214097.92,21409792,0,0.0,0,100:2,0
,100,0,100,0.000499725341796875,0.07441964149475097,0.9479990005493164,7.441964149475098,1,1.0,1,3701.0,3701.0,3701.0,-1.0999999999999996,0.4350000000000003,3.5,0,1823744.0,182374400,0,0.005,0.5,100:3,0
,91,9,100,0.04699873924255371,0.9016249680519104,5.20099949836731,90.16249680519104,1,48.06,200,3701.0,3701.0,3701.0,0.0,3.738000000000001,6.200000000000001,0,1877647.36,187764736,0,0.005,0.5,100:1,0
,96,4,100,0.04649853706359863,0.7032300758361817,6.11149787902832,70.32300758361816,1,34.01,200,3701.0,3701.0,3701.0,-0.20000000000000018,2.084,7.1000000000000005,0,1954078.72,195407872,0,0.006000000000000014,0.6000000000000014,100:2,0
,94,6,100,0.04549980163574219,0.8152950835227967,5.466500520706177,81.52950835227966,1,41.46,200,3701.0,3701.0,3701.0,0.7000000000000002,2.6840000000000015,17.5,0,3475046.4,347504640,0,0.01,1.0,100:3,0
,100,0,100,0.0,0.09212004899978637,0.8479993343353271,9.212004899978638,1,1.0,1,3701.0,3701.0,3701.0,0.0,4.364000000000001,17.099999999999998,4096,172366315.52,426258432,0.0,0.5200000000000006,1.2999999999999972,100:1,250000
,90,10,100,0.04800009727478027,0.8091648578643799,5.307000160217285,80.91648578643799,1,44.43,200,3701.0,3701.0,3701.0,0.0,4.075000000000002,17.099999999999998,4096,173449871.36,426258432,0.0,0.5230000000000006,1.2999999999999972,100:1,250000
,0,100,100,0.1484997272491455,0.18479507207870483,0.28099918365478516,18.479507207870483,1,1.0,1,3701.0,3701.0,3701.0,0.0,4.1320000000000014,17.099999999999998,4096,176355450.88,426258432,0.0,0.5320000000000005,1.2999999999999972,100:1,250000
,0,100,100,0.15249967575073242,0.28172006368637087,1.083498239517212,28.172006368637085,1,1.0,1,3701.0,3701.0,3701.0,0.0,4.235,17.099999999999998,4096,176355450.88,426258432,0.0,0.5320000000000005,1.2999999999999972,100:1,250000
,100,0,100,0.0009992122650146484,0.11198933362960815,1.453498363494873,11.198933362960815,1,1.0,1,3701.0,3701.0,3701.0,-1.1999999999999993,0.9770000000000004,8.5,0,133264465.92,164278272,0.0,0.39499999999999863,0.5,100:2,250000
,94,6,100,0.047499656677246094,0.7846000957489013,4.6705002784729,78.46000957489014,1,37.46,200,3701.0,3701.0,3701.0,-1.1999999999999993,1.0809999999999997,8.5,0,133264465.92,164278272,0.0,0.39499999999999863,0.5,100:2,250000
,0,100,100,0.14949989318847656,0.18799525499343872,0.28999972343444824,18.799525499343872,1,1.0,1,3701.0,3701.0,3701.0,-1.1999999999999993,0.9410000000000001,8.5,0,133264465.92,164278272,0.0,0.39499999999999863,0.5,100:2,250000
,0,100,100,0.15600013732910156,0.3032947587966919,1.6679999828338623,30.32947587966919,1,1.0,1,3701.0,3701.0,3701.0,-1.1999999999999993,0.9250000000000003,8.5,0,134907248.64,164278272,0.0,0.39999999999999863,0.5,100:2,250000
,100,0,100,0.0004992485046386719,0.15412052154541014,2.1565005779266357,15.412052154541016,1,1.0,1,3701.0,3701.0,3701.0,-4.199999999999999,-1.8840000000000003,1.700000000000001,0,151909662.72,196489216,0.0,0.3970000000000009,0.5,100:3,250000
,97,3,100,0.04699873924255371,0.6989998579025268,5.201000928878784,69.89998579025269,1,34.05,200,3701.0,3701.0,3701.0,-3.8999999999999995,-1.7379999999999998,1.700000000000001,0,151909662.72,196489216,0.0,0.3970000000000009,0.5,100:3,250000
,0,100,100,0.14700007438659668,0.18937478542327882,0.353499174118042,18.93747854232788,1,1.0,1,3701.0,3701.0,3701.0,-4.199999999999999,-1.8179999999999996,1.700000000000001,0,153858457.6,196489216,0.0,0.40200000000000086,0.5,100:3,250000
,0,100,100,0.15500140190124512,0.3464352798461914,2.379999876022339,34.64352798461914,1,1.0,1,3701.0,3701.0,3701.0,-4.199999999999999,-1.6839999999999995,1.700000000000001,0,153858457.6,196489216,0.0,0.40200000000000086,0.5,100:3,250000
,10,0,10,0.01650094985961914,0.17035017013549805,0.43399786949157715,1.7035017013549805,1,1.0,1,3701.0,3701.0,3701.0,0.0,1.95,4.199999999999999,0,18644582.4,186445824,0,0.05,0.5,10:1,250000
,10,0,10,0.00099945068359375,0.3347498416900635,2.982999086380005,3.3474984169006348,1,1.0,1,3701.0,3701.0,3701.0,-4.0,-0.8799999999999999,0.0,0,2828697.6,28286976,0,0.009999999999999431,0.09999999999999432,10:2,250000
,10,0,10,0.000499725341796875,0.10414996147155761,0.49900150299072266,1.0414996147155762,1,1.0,1,3701.0,3701.0,3701.0,0.0,2.6799999999999997,6.3999999999999995,0,2491596.8,24915968,0,0.0,0,10:3,250000
CrossHatching-Random,9,1,10,0.046999454498291016,0.7060497522354126,2.6105000972747803,7.060497522354126,1,38.8,200,3701.0,3701.0,3701.0,2.0,4.010000000000001,7.0,0,409.6,4096,0,0.0,0,10:1,250000
CrossHatching-Random,10,0,10,0.07300019264221191,0.4435498476028442,1.822498083114624,4.435498476028442,2,18.7,80,3701.0,3701.0,3701.0,-4.5,-1.3599999999999997,2.3000000000000007,0,3724083.2,37240832,0,0.010000000000000142,0.10000000000000142,10:2,250000
CrossHatching-Random,10,0,10,0.062000274658203125,0.3072501182556152,1.0575003623962402,3.0725011825561523,2,13.8,48,3701.0,3701.0,3701.0,0.0,3.5700000000000003,6.3,0,14594048.0,145940480,0,0.039999999999999855,0.3999999999999986,10:3,250000
Backtracking,10,0,10,0.0004999637603759766,0.04629976749420166,0.12399983406066895,0.4629976749420166,1,1.0,1,3701.0,3701.0,3701.0,3.2,6.180000000000001,8.3,4096,15198617.6,30613504,0.0,0.0,0.0,10:1,250000
CrossHatching-Random,9,1,10,0.049500226974487305,1.4103499889373778,5.378000974655151,14.10349988937378,1,68.7,200,3701.0,3701.0,3701.0,5.0,6.369999999999999,7.6,4096,15198617.6,30613504,0.0,0.0,0.0,10:1,250000
Machine Learning without Training,0,10,10,0.14699983596801758,0.17760119438171387,0.24200081825256348,1.7760119438171387,1,1.0,1,3701.0,3701.0,3701.0,5.0,6.43,7.6,4096,17860198.4,30613504,0.0,0.0,0.0,10:1,250000
Machine Learning with Training,0,10,10,0.1550004482269287,0.22909867763519287,0.33449697494506836,2.2909867763519287,1,1.0,1,3701.0,3701.0,3701.0,5.0,6.159999999999999,7.1,4096,18259558.4,30613504,0.0,0.0,0.0,10:1,250000
Backtracking,10,0,10,0.0015025138854980469,0.11795029640197754,0.4049997329711914,1.1795029640197754,1,1.0,1,3701.0,3701.0,3701.0,4.5,7.790000000000001,13.8,0,179310182.4,199233536,0.0,0.5400000000000013,0.6000000000000014,10:2,250000
CrossHatching-Random,9,1,10,0.0494997501373291,1.0854501008987427,4.129500865936279,10.854501008987427,1,58.3,200,3701.0,3701.0,3701.0,5.8,7.88,13.8,45715456,183881728.0,199233536,0.20000000000000284,0.5600000000000016,0.6000000000000014,10:2,250000
Machine Learning without Training,0,10,10,0.1529982089996338,0.20319974422454834,0.29599976539611816,2.0319974422454834,1,1.0,1,3701.0,3701.0,3701.0,5.8,7.909999999999999,13.8,45715456,183881728.0,199233536,0.20000000000000284,0.5600000000000016,0.6000000000000014,10:2,250000
Machine Learning with Training,0,10,10,0.16500043869018555,0.3228003978729248,0.6204996109008789,3.228003978729248,1,1.0,1,3701.0,3701.0,3701.0,5.8,8.67,13.8,199233536,199233536.0,199233536,0.6000000000000014,0.6000000000000014,0.6000000000000014,10:2,250000
Backtracking,10,0,10,0.0004999637603759766,0.045249557495117186,0.16950035095214844,0.4524955749511719,1,1.0,1,3701.0,3701.0,3701.0,5.3,7.83,10.6,0,68065689.6,75628544,0.0,0.18000000000000255,0.20000000000000284,10:3,250000
CrossHatching-Random,10,0,10,0.05099940299987793,0.5833499193191528,2.0624966621398926,5.833499193191528,1,31.3,114,3701.0,3701.0,3701.0,5.3,8.4,11.0,0,68065689.6,75628544,0.0,0.18000000000000255,0.20000000000000284,10:3,250000
Machine Learning without Training,0,10,10,0.1504979133605957,0.18924989700317382,0.24650073051452637,1.8924989700317383,1,1.0,1,3701.0,3701.0,3701.0,5.5,8.57,11.0,0,68065689.6,75628544,0.0,0.18000000000000255,0.20000000000000284,10:3,250000
Machine Learning with Training,0,10,10,0.16100072860717773,0.23769993782043458,0.4154987335205078,2.3769993782043457,1,1.0,1,3701.0,3701.0,3701.0,5.3,8.2,11.0,75628544,75628544.0,75628544,0.20000000000000284,0.20000000000000284,0.20000000000000284,10:3,250000
