method,success,fails,cycles,Min_Time_Per_Cycle,Avg_Time_Per_Cycle,Max_Time_Per_Cycle,timeSpent,Min_Attempts_Taken,Avg_Attempts_Taken,Max_Attempts_Taken,Min_CPU_frequency,Avg_CPU_frequency,Max_CPU_frequency,Min_CPU_percentage,Avg_CPU_percentage,Max_CPU_percentage,Min_RAM_Bytes,Avg_RAM_bytes,Max_RAM_Bytes,Min_RAM_percentage,Avg_RAM_percentage,Max_RAM_percentage,SaveID,ML_Range
Machine Learning without Training,0,100,100,0.6089999675750732,0.7460052180290222,1.2235009670257568,74.60052180290222,1,1.0,1,3701.0,3701.0,3701.0,0.0,3.532,10.1,49152,204285255.68,255275008,0.0,0.5760000000000003,0.6999999999999957,100:1,10000
Machine Learning with Training,0,100,100,0.6109988689422607,0.9226096153259278,3.9240000247955322,92.26096153259277,1,1.0,1,3701.0,3701.0,3701.0,1.5999999999999996,3.818999999999998,26.5,63533056,206223278.08,255275008,0.19999999999999574,0.5810000000000002,0.6999999999999957,100:1,10000
Machine Learning without Training,0,100,100,0.6050000190734863,0.7549249148368835,1.3170011043548584,75.49249148368835,1,1.0,1,3701.0,3701.0,3701.0,-5.4,-3.096,4.599999999999998,0,204451020.8,686891008,0.0,0.5520000000000039,2.0,100:2,10000
Machine Learning with Training,0,100,100,0.6209995746612549,0.9083104538917541,4.725997686386108,90.83104538917542,1,1.0,1,3701.0,3701.0,3701.0,-5.4,-3.2849999999999993,4.899999999999999,0,207271895.04,686891008,0.0,0.5600000000000038,2.0,100:2,10000
Machine Learning without Training,1,99,100,0.57200026512146,0.7365660738945007,1.2285001277923584,73.65660738945007,1,1.0,1,3701.0,3701.0,3701.0,-14.600000000000001,-10.020999999999995,8.2,129572864,199805419.52,213467136,0.4000000000000057,0.6490000000000034,0.7000000000000028,100:3,10000
Machine Learning with Training,1,99,100,0.5829999446868896,0.8609737730026246,2.4904980659484863,86.09737730026245,1,1.0,1,3701.0,3701.0,3701.0,-14.5,-10.134,5.300000000000001,133324800,200644362.24,213467136,0.4000000000000057,0.6520000000000032,0.7000000000000028,100:3,10000
Machine Learning without Training,1,99,100,0.25100064277648926,0.7351348638534546,1.4725008010864258,73.51348638534546,1,1.0,1,3701.0,3701.0,3701.0,-0.7000000000000002,3.28,11.8,0,136595865.6,142786560,0.0,0.37699999999999834,0.3999999999999986,100:4,10000
Machine Learning with Training,1,99,100,0.2559988498687744,1.3509000515937806,48.016499519348145,135.09000515937805,1,1.0,1,3701.0,3701.0,3701.0,-0.7000000000000002,3.438,11.5,106311680,137909657.6,142786560,0.29999999999999716,0.3809999999999983,0.3999999999999986,100:4,10000
Machine Learning without Training,0,100,100,0.5939991474151611,0.7481350350379944,1.1985013484954834,74.81350350379944,1,1.0,1,3701.0,3701.0,3701.0,-3.5999999999999996,-0.4679999999999994,4.5,0,147411025.92,152772608,0.0,0.4649999999999996,0.5,100:5,10000
Machine Learning with Training,0,100,100,0.6015000343322754,0.8542438507080078,1.5925014019012451,85.42438507080078,1,1.0,1,3701.0,3701.0,3701.0,-3.1999999999999993,-0.5379999999999994,3.0,135569408,148766720.0,152772608,0.3999999999999986,0.4689999999999996,0.5,100:5,10000
Machine Learning without Training,11,4989,5000,0.3279995918273926,0.7895574003696442,1.9294993877410889,3947.787001848221,1,1.0,1,3701.0,3701.0,3701.0,0.0,10.69179999999999,90.80000000000001,4096,9085646771.8144,10138103808,0.0,26.524520000002184,29.599999999999994,5000:1,10000
Machine Learning with Training,11,4989,5000,0.336500883102417,0.9550563215732575,18.762518167495728,4775.281607866287,1,1.0,1,3701.0,3701.0,3701.0,1.5,10.692979999999967,78.7,116781056,9086682750.1568,10138103808,0.29999999999999716,26.527560000002186,29.599999999999994,5000:1,10000
