method,averageTime,timeSpent,success,fails,cycles,avgAttemptsTaken,CPU_frequency,CPU_percentage,RAM_bytes,RAM_percentage
Backtracking,0.267429757,2.674297571,10,0,10,1,3701,4.45,3284992,0
CrossHatching-Random,0.821605873,8.216058731,9,1,10,34.1,3701,5.61,1527808,0
Machine Learning without Training,0.159187984,1.591879845,0,10,10,1,3701,3.66,1146880,0
Machine Learning with Training,0.246913433,2.469134331,0,10,10,1,3701,4.58,4096,0
Backtracking,0.269581556,2.695815563,10,0,10,1,3701,4.68,2928640,0
Backtracking,0.255779734,6.394493341,25,0,25,1,3701,5.576,9809920,0
Backtracking,0.20863924,10.43196201,50,0,50,1,3701,5.57,1843200,0
Backtracking,0.22992753,22.99275303,100,0,100,1,3701,5.877,147116032,0.4
Backtracking,0.417246455,104.3116138,250,0,250,1,3701,6.0144,163209216,0.5
CrossHatching-Random,1.013185725,101.3185725,92,8,100,43.45,3701,6.693,177696768,0.6
Backtracking,0.26813787,268.1378698,1000,0,1000,1,3701,6.1352,164896768,0.5
CrossHatching-Random,0.898544971,898.5449715,923,77,1000,39.098,3701,6.187,736550912,2.1
Machine Learning without Training,0.164678976,164.6789758,0,1000,1000,1,3701,9.1891,686399488,2
Machine Learning without Training,0.162159297,1621.59297,4,9996,10000,1,3701,6.14946,886562816,2.6
Machine Learning with Training,0.335249498,335.2494977,0,1000,1000,1,3701,6.2381,536100864,1.5
Backtracking,0.186860526,3.737210512,20,0,20,1,3701,4.635,3448832,0
Backtracking,0.190863967,3.817279339,20,0,20,1,3701,5.385,4096,0
Backtracking,0.402995765,8.059915304,20,0,20,1,3701,6.01,4096,0
Backtracking,0.251716256,5.034325123,20,0,20,1,3701,4.885,1744896,0
Backtracking,0.2795151,5.590301991,20,0,20,1,3701,5.295,2023424,0
CrossHatching-Random,1.19782908,11.9782908,9,1,10,50.7,3701,7.16,4120576,0
CrossHatching-Random,1.266337919,12.66337919,7,3,10,74,3701,5.03,5173248,0
CrossHatching-Random,1.070369506,10.70369506,9,1,10,39.8,3701,6.93,1929216,0
Backtracking,0.064393985,1.287879705,10,10,20,1,3701,3.09,2494464,0
Backtracking,0.179479218,3.589584351,10,10,20,1,3701,4.36,4096,0
Backtracking,0.059526086,1.190521717,10,10,20,1,3701,3.425,7110656,0.1
Backtracking,0.444882011,2.224410057,5,0,5,1,3701,5.04,3903488,0
Backtracking,0.093405259,1.868105173,10,10,20,1,3701,4,798720,0
Backtracking,0.128635538,2.572710752,10,10,20,1,3701,6.78,3891200,0.1
Backtracking,0.06445539,1.2891078,10,10,20,1,3701,3.44,6766592,0
Backtracking,0.254218292,1.271091461,5,0,5,1,3701,3.86,4096,0
Backtracking,0.242958903,0.485917807,2,0,2,1,3701,1.9,4096,0
Backtracking,0.054121506,1.082430124,10,10,20,1,3701,2.22,3403776,0
Backtracking,0.516443634,2.58221817,5,0,5,1,3701,6.34,5652480,0
Backtracking,0.104589844,2.091796875,10,10,20,1,3701,3.41,8445952,0
Machine Learning with Training,0.028357108,0.085071325,12,12,24,1,3701,1.9,4096,0
Machine Learning with Training,0.028357665,0.085072994,12,12,24,1,3701,2.3,4096,0
Machine Learning with Training,0.028623629,0.143118143,20,20,40,1,3701,3.56,4096,0
Machine Learning with Training,0.028724861,0.143624306,20,20,40,1,3701,4.1,1028096,0
Machine Learning with Training,0.029124498,0.145622492,0,5,5,1,3701,3.6,1597440,0
Backtracking,0.230596733,1.152983665,5,0,5,1,3701,3.78,3117056,0
CrossHatching-Random,0.000500584,0.002502918,5,0,5,1,3701,3.78,3117056,0
Machine Learning without Training,0.044837999,0.224189997,0,5,5,1,3701,4.52,3117056,0
Machine Learning with Training,0.028624487,0.143122435,0,5,5,1,3701,4.52,3117056,0
Backtracking,0.229772689,22.97726893,100,0,100,1,3701,6.272,59121664,0.2
CrossHatching-Random,0.000445354,0.044535398,100,0,100,1,3701,6.272,59121664,0.2
Machine Learning without Training,0.045465579,4.546557903,0,100,100,1,3701,6.253,59121664,0.2
Machine Learning with Training,0.029014776,2.901477575,0,100,100,1,3701,6.295,59121664,0.2
CrossHatching-Random,0.593009281,2.965046406,5,0,5,17.2,3701,5.06,6053888,0
Backtracking,0.173949766,0.869748831,5,0,5,1,3701,3.08,4096,0
CrossHatching-Random,0.000500584,0.002502918,5,0,5,1,3701,3.08,4096,0
Machine Learning without Training,0.045338678,0.226693392,0,5,5,1,3701,3.08,4096,0
Machine Learning with Training,0.028725147,0.143625736,0,5,5,1,3701,3.08,4096,0
Backtracking,0.213873594,21.38735938,100,0,100,1,3701,6.134,64790528,0.2
CrossHatching-Random,0.000425439,0.042543888,100,0,100,1,3701,6.134,64790528,0.2
Machine Learning without Training,0.04559948,4.559947968,0,100,100,1,3701,6.167,64790528,0.2
Machine Learning with Training,0.029164813,2.916481256,0,100,100,1,3701,6.217,64790528,0.2
CrossHatching-Random,0.938065205,234.5163012,230,20,250,40.264,3701,6.1148,312524800,0.9
Backtracking,0.245208158,245.2081585,1000,0,1000,1,3701,5.9443,144834560,0.4
Backtracking,0.275281579,275.2815788,1000,0,1000,1,3701,6.6947,201564160,0.6
CrossHatching-Random,0.000424379,0.424378633,1000,0,1000,1,3701,6.6922,201564160,0.6
Machine Learning without Training,0.046471546,46.47154617,0,1000,1000,1,3701,6.6873,201564160,0.6
Machine Learning with Training,0.029814003,29.81400323,0,1000,1000,1,3701,6.6697,201564160,0.6
Backtracking,-0.233452513,-23.34525132,100,0,100,1,3701,6.381,240156672,0.7
CrossHatching-Random,-0.000435414,-0.043541431,100,0,100,1,3701,6.381,240156672,0.7
Machine Learning without Training,-0.047035699,-4.703569889,0,100,100,1,3701,6.464,240156672,0.7
Machine Learning with Training,-0.030125768,-3.012576818,0,100,100,1,3701,6.467,240156672,0.7
Backtracking,0.156989858,15.69898582,100,0,100,1,3701,6.207,101310464,0.2
CrossHatching-Random,0.000415359,0.041535854,100,0,100,1,3701,6.207,101310464,0.2
Machine Learning without Training,0.046886184,4.688618422,0,100,100,1,3701,6.207,101310464,0.2
Machine Learning with Training,0.029985321,2.998532057,0,100,100,1,3701,6.232,101310464,0.2
Backtracking,0.223271484,11.16357422,50,0,50,1,3701,6.046,4096,0
CrossHatching-Random,0.000420418,0.021020889,50,0,50,1,3701,6.046,4096,0
Machine Learning without Training,0.047061443,2.353072166,0,50,50,1,3701,6.072,4096,0
Machine Learning with Training,0.030356045,1.517802238,0,50,50,1,3701,6.112,4096,0
Backtracking,0.207578254,2.075782537,10,0,10,1,3701,5.98,4096,0
CrossHatching-Random,0.000400376,0.004003763,10,0,10,1,3701,5.98,4096,0
Machine Learning without Training,0.047140527,0.471405268,0,10,10,1,3701,5.98,4096,0
Machine Learning with Training,0.030175853,0.301758528,0,10,10,1,3701,5.9,4096,0
Backtracking,0.321977067,3.21977067,10,0,10,1,3701,5.4,7888896,0
CrossHatching-Random,0.000450373,0.004503727,10,0,10,1,3701,5.4,7888896,0
Machine Learning without Training,0.046990252,0.469902515,0,10,10,1,3701,5.42,7888896,0
Machine Learning with Training,0.029875302,0.298753023,0,10,10,1,3701,5.42,7888896,0
Backtracking,0.144074178,1.440741777,10,0,10,1,3701,4.22,10088448,0.1
CrossHatching-Random,0.000350428,0.003504276,10,0,10,1,3701,4.22,10088448,0.1
Machine Learning without Training,0.046490121,0.464901209,0,10,10,1,3701,4.22,10088448,0.1
Machine Learning with Training,0.029774809,0.297748089,0,10,10,1,3701,4.69,10088448,0.1
Backtracking,0.393988132,3.939881325,10,0,10,1,3701,5.24,5058560,0.1
CrossHatching-Random,0.000500417,0.005004168,10,0,10,1,3701,5.24,5058560,0.1
Machine Learning without Training,0.046991253,0.469912529,0,10,10,1,3701,5.24,5058560,0.1
Machine Learning with Training,0.029424787,0.294247866,0,10,10,1,3701,5.24,5058560,0.1
Backtracking,0.320875549,1.604377747,5,0,5,1,3701,5.24,6340608,0
CrossHatching-Random,0.000500345,0.002501726,5,0,5,1,3701,5.24,6340608,0
Machine Learning without Training,0.046240044,0.231200218,0,5,5,1,3701,5.24,6340608,0
Machine Learning with Training,0.029525089,0.147625446,0,5,5,1,3701,5.24,6340608,0
Backtracking,0.235200787,1.176003933,5,0,5,1,3701,3.76,18739200,0.1
